id;numero;date;montant;signe;type;echeance
1;Kwacha;2021-12-19T01:35:20;61653;17897;VIREMENTEXTERNE;2021-12-18T16:09:32
2;hack;2021-12-18T16:18:21;71446;25948;RETRAITLIQUIDE;2021-12-19T05:57:29
3;white scalable hard;2021-12-18T23:35:44;16551;92024;RETRAITLIQUIDE;2021-12-18T19:11:06
4;generate capacitor;2021-12-19T02:47:01;9041;16885;VIREMENTINTERNE;2021-12-19T09:59:43
5;Rustic Antilles Home;2021-12-19T02:00:23;77596;37746;PAIEMENTCHEQUE;2021-12-19T06:40:48
6;Customer value-added;2021-12-19T13:37:08;8019;22683;DEPOTCHEQUE;2021-12-19T05:32:05
7;sensor;2021-12-19T04:13:36;87410;16800;RETRAITLIQUIDE;2021-12-18T23:17:28
8;program invoice monitor;2021-12-19T11:51:24;18655;63640;VIREMENTEXTERNE;2021-12-19T13:04:58
9;fuchsia Table;2021-12-19T01:43:16;50888;29955;PAIEMENTCB;2021-12-19T05:30:49
10;Crescent;2021-12-19T07:48:45;32832;65571;VIREMENTINTERNE;2021-12-18T20:39:12
